creator_id,username,follower_count,avg_views,category,bio
101,dancingqueen,1200000,350000,dance,Professional dancer sharing daily choreos
102,foodie_jay,430000,80000,cooking,Home cook exploring recipes and food challenges
103,fashionmia,900000,250000,fashion,Styling outfits hauls and everyday looks
104,techbro_nick,180000,40000,tech,Tech reviews gadgets and coding tips
105,travelwithlia,650000,150000,travel,Travel vlogs hidden gems and local food
106,gamerx,300000,90000,gaming,Streaming gameplay highlights and tips
107,mr_finance,,70000,finance,Investing and personal finance breakdowns
108,momlife_anna,510000,110000,lifestyle,Daily mom life routines and hacks
109,diy_dan,130000,30000,,DIY hacks and simple home projects
110,prankbros,800000,270000,comedy,Pranks skits and reaction videos
111,lo_fi_vibes,95000,,music,Chill beats and study sessions
112,quiet_reader,60000,20000,books,Book reviews reading sprints and cozy vibes
113,fit_kara,410000,120000,fitness,Quick home workouts and wellness tips
114,eco_earth,220000,60000,sustainability,Low waste living and eco friendly swaps
115,pet_palace,540000,130000,animals,Cute pet moments training and adoption stories
