video_id,creator_id,views,likes,comments,shares,caption
v1,101,450000,60000,1300,900,Learning a new routine
v2,101,300500,40000,900,500,Dance collab with friends
v3,101,320000,45000,1100,650,Trying a trending dance
v4,102,80000,12000,300,150,Recipe time quick pasta
v5,102,75000,10000,260,120,Hot sauce challenge
v6,102,60000,8500,,90,Trying a budget meal
v7,103,250000,33000,800,400,Outfit inspo for the weekend
v8,103,230000,31000,750,380,Thrift haul styling
v9,103,270000,35000,900,420,Fashion tips for winter
v10,104,42000,6000,180,70,My desk setup tour
v11,104,39000,5500,,60,Debugging live stream highlights
v12,104,41000,5800,190,80,Reacting to new tech releases
v13,105,160000,22000,500,260,Hidden gem cafe in Tokyo
v14,105,155000,21000,480,240,Day trip to a small village
v15,105,170000,25000,520,280,How to travel light
v16,105,140000,19000,,230,Street food night market
v17,106,95000,14000,350,200,Clutch win compilation
v18,106,88000,13000,320,180,Ranked grind highlights
v19,106,91000,13500,,190,Testing a new game mode
v20,107,72000,9000,210,130,How compound interest works
v21,107,68000,8500,195,,Budgeting tips for beginners
v22,107,70000,8800,205,140,Side hustle ideas
v23,108,115000,16000,420,260,Morning routine with kids
v24,108,108000,15000,,240,Meal prep for busy parents
v25,108,112000,15800,410,250,Weekend reset vlog
v26,109,32000,4200,95,40,Easy wall decor DIY
v27,109,28000,3900,,35,Upcycling old jars
v28,110,290000,42000,980,520,Pranking my brother
v29,110,310000,45000,1050,600,Fake bug prank
v30,110,260000,38000,870,480,Scaring friends in public
v31,110,275000,40000,,510,Try not to laugh challenge
v32,111,42000,6200,160,90,Lo fi beats to relax
v33,111,38000,5800,,80,Study with me live
v34,113,130000,19000,430,260,Full body workout no equipment
v35,113,118000,17500,400,240,Stretching routine for beginners
v36,114,64000,9200,210,130,Zero waste bathroom swaps
v37,114,61000,8800,,120,How to start composting
v38,115,138000,21000,460,270,My dog learns a new trick
v39,115,125000,19500,430,250,Shelter pet glow up
v40,115,132000,20500,,260,Day in the life of a foster cat
