creator_id,username,follower_count,avg_views,top_category,avg_engagement_rate,virality_score,top_keywords
101,dancingqueen,1200000.0,350000.0,dance,,30.98,"dance, learning, new, routine, collab"
110,prankbros,800000.0,270000.0,comedy,,27.24,"pranking, brother, fake, bug, prank"
103,fashionmia,900000.0,250000.0,fashion,,23.67,"styling, outfit, inspo, weekend, thrift"
105,travelwithlia,650000.0,150000.0,travel,,19.92,"hidden, travel, food, gem, cafe"
115,pet_palace,540000.0,130000.0,animals,,19.78,"pet, dog, learns, new, trick"
113,fit_kara,410000.0,120000.0,fitness,,18.41,"full, body, workout, equipment, stretching"
106,gamerx,300000.0,90000.0,gaming,,17.63,"highlights, clutch, win, compilation, ranked"
108,momlife_anna,510000.0,110000.0,lifestyle,,17.11,"morning, routine, kids, meal, prep"
102,foodie_jay,430000.0,80000.0,cooking,,16.2,"recipe, time, quick, pasta, hot"
114,eco_earth,220000.0,60000.0,sustainability,,15.7,"waste, swaps, zero, bathroom, how"
111,lo_fi_vibes,95000.0,100000.0,music,,15.36,"beats, study, relax, live, chill"
104,techbro_nick,180000.0,40000.0,tech,,15.04,"tech, desk, setup, tour, debugging"
107,mr_finance,420000.0,70000.0,finance,,14.28,"how, compound, interest, works, budgeting"
109,diy_dan,130000.0,30000.0,other,,13.4,"diy, easy, wall, decor, upcycling"
112,quiet_reader,60000.0,20000.0,books,,0.0,"book, reviews, reading, sprints, cozy"
